exchange,symbol,timestamp,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount
ftx,BTC-PERP,1619543289900648,1619543289915341,54795,8.1804,54794,0.9965,54797,0.0013,54790,0.015,54798,27.6763,54787,0.7796,54799,0.6,54786,4.321,54800,0.001,54782,0.3426
ftx,BTC-PERP,1619543289926398,1619543289942616,54795,8.1804,54794,0.9965,54797,0.0013,54790,0.015,54798,27.6763,54787,0.7796,54799,0.6,54786,4.321,54800,0.0923,54782,0.3426
ftx,BTC-PERP,1619543289951377,1619543289968411,54795,8.1804,54794,0.9965,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,4.321,54800,0.0923,54782,0.3426
ftx,BTC-PERP,1619543289978361,1619543289994432,54795,8.1804,54794,0.9965,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,4.321,54800,0.0923,54784,0.0913
ftx,BTC-PERP,1619543290006035,1619543290037884,54795,8.1804,54794,0.2165,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,4.321,54800,0.0923,54784,0.0913
ftx,BTC-PERP,1619543290052321,1619543290069240,54795,8.1804,54794,0.2165,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,0.321,54800,0.0923,54784,0.0913
ftx,BTC-PERP,1619543290102633,1619543290118355,54795,8.2438,54794,0.2165,54797,0.0013,54790,0.1063,54798,27.6763,54788,0.2398,54799,0.6,54787,0.7796,54800,0.0923,54786,0.321
ftx,BTC-PERP,1619543290154346,1619543290171167,54795,8.2552,54794,0.2165,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,0.321,54800,0.0923,54784,0.0913
ftx,BTC-PERP,1619543290178011,1619543290193677,54795,8.2552,54794,0.2165,54797,0.0013,54790,0.1063,54798,27.6763,54787,0.7796,54799,0.6,54786,0.321,54800,10.2301,54784,0.0913
ftx,BTC-PERP,1619543290226459,1619543290240857,54795,8.2552,54794,1.0314,54796,0.1027,54790,0.1063,54797,0.0013,54787,0.7796,54798,27.6763,54786,0.311,54799,0.6,54784,0.0913
ftx,BTC-PERP,1619543290276871,1619543290299087,54795,8.2552,54794,5.0314,54796,0.1027,54790,0.1063,54797,0.0013,54787,0.7796,54798,27.6763,54786,0.311,54799,0.6,54784,0.0913
ftx,BTC-PERP,1619543290352955,1619543290368210,54795,8.2438,54794,5.0314,54796,0.1027,54790,0.1063,54797,0.0013,54787,0.7796,54798,27.6763,54786,0.311,54799,0.6,54784,0.0913
ftx,BTC-PERP,1619543290502228,1619543290528480,54795,8.2438,54794,5.0414,54796,0.1027,54790,0.1063,54797,0.0013,54787,0.7796,54798,27.6763,54786,0.311,54799,0.6,54784,0.0913
ftx,BTC-PERP,1619543290654047,1619543290671053,54795,31.3015,54794,5.0414,54796,0.1027,54790,0.1063,54797,0.0013,54787,0.7796,54798,27.6763,54786,0.311,54799,0.6,54784,0.0913
